date,strategy_nav,csi300_nav,strategy_return,csi300_return,held_count,active_csi300_count,tradable_count
2016-04-29,1.0,1.0,0.0,0.0,3,300,29
2016-05-03,1.0428864071650779,1.0179900485636153,0.04288640716507778,0.017990048563615302,6,300,29
2016-05-04,1.0261240540334002,1.0166975375858451,-0.01607303826813074,-0.0012696695607131714,7,300,29
2016-05-05,1.0294855222053345,1.0181104444061435,0.0032758886790746266,0.0013897022153248617,6,300,29
2016-05-06,1.0018120573014697,0.9916370167780737,-0.026880868459989105,-0.026002510605331763,3,300,29
2016-05-09,0.9951684303899541,0.9711317194352291,-0.006631610054096626,-0.020678229025241857,3,300,29
2016-05-10,0.9901256840590092,0.9722372531458424,-0.0050672290005912375,0.0011383972827663236,4,300,29
2016-05-11,1.025273116054891,0.9765772189391716,0.0354979499691343,0.004463895802476747,5,300,29
2016-05-12,1.021849033100029,0.9788991811746626,-0.003339678863362172,0.0023776534926887027,3,300,29
2016-05-13,1.0301228272928238,0.9740840897413686,0.008096885082617522,-0.0049188839115340555,3,300,29
2016-05-16,1.048771611602451,0.9805369209216057,0.01810345700098352,0.006624511423803714,4,300,29
2016-05-17,1.0288740173232838,0.9775940516437298,-0.018972285347012036,-0.0030012834958931256,3,300,29
2016-05-18,1.015073882801069,0.9718983336532507,-0.013412851612403612,-0.005826260891115598,4,300,29
2016-05-19,1.0083365216639786,0.9701433898154618,-0.006637311087641179,-0.0018056866413098671,5,300,29
2016-05-20,1.016571563302463,0.9751231904809198,0.008166957619361948,0.005133056327276675,5,300,29
2016-05-23,1.0219114780928047,0.9779741670010583,0.005252866579303572,0.002923709073858083,7,300,29
2016-05-24,1.0048951017778744,0.9704791175563712,-0.0166515169657239,-0.007663852172773211,5,300,29
2016-05-25,0.9933789580012058,0.969107480827593,-0.011460045686653398,-0.0014133603742364498,5,300,29
2016-05-26,1.0118549363102745,0.970685022653272,0.01859912388948164,0.0016278295822582667,5,300,29
2016-05-27,0.9943221146420813,0.9701433898154618,-0.017327406369263332,-0.00055799031114101,4,300,29
2016-05-30,0.9840214349943471,0.9714770224311855,-0.010359499699392788,0.0013746757744517168,4,300,29
2016-05-31,1.0520925461532245,1.004057978243536,0.06917645158742741,0.0335375464988501,6,300,29
2016-06-01,1.058737358948977,1.001203809971715,0.006315806361377796,-0.0028426329292395858,6,300,29
2016-06-02,1.074322725021224,1.0032786712455686,0.014720710420305575,0.0020723665383495238,6,300,29
2016-06-03,1.0918093645065718,1.0103207888585004,0.016276896204539093,0.007019104277567356,9,300,30
2016-06-06,1.0903062650104816,1.0069818454648847,-0.0013767050777857312,-0.003304834890498709,8,300,30
2016-06-07,1.0946731006225028,1.0064307115988107,0.004005145849528088,-0.0005473126139822204,7,300,30
2016-06-08,1.0864638262879476,1.0022935333774834,-0.007499293012577806,-0.004110743217240476,5,300,30
2016-06-13,1.0163000611024267,0.9713598183403396,-0.06457993675246872,-0.03086292987734318,6,300,29
2016-06-14,1.024760675633792,0.97441358243248,0.00832491786154943,0.0031438031865040905,5,300,30
2016-06-15,1.063279364040493,0.9872083499786894,0.03758798451441159,0.013130736041537139,5,300,29
